Judge,URL,Slug,Born,Confirmed,Court,Died,Education,President,Service Terminated
"Crenshaw, Waverly David, Jr.",https://www.fjc.gov/history/judges/crenshaw-waverly-david-jr,history/judges/crenshaw-waverly-david-jr,['1956'],"['April 11, 2016']",['U.S. District Court for the Middle District of Tennessee'],[],"['Vanderbilt University, B.A., 1978Vanderbilt University Law School, J.D., 1981']",['Barack Obama'],[]
"Campbell, William Lynn, Jr.",https://www.fjc.gov/history/judges/campbell-william-lynn-jr,history/judges/campbell-william-lynn-jr,['1969'],"['January 9, 2018']",['U.S. District Court for the Middle District of Tennessee'],[],"['U.S. Naval Academy, B.S., 1991University of Alabama School of Law, J.D., 2001']",['Donald J. Trump'],[]
"Parker, Thomas Lee Robinson",https://www.fjc.gov/history/judges/parker-thomas-lee-robinson,history/judges/parker-thomas-lee-robinson,['1963'],"['January 10, 2018']",['U.S. District Court for the Western District of Tennessee'],[],"['University of South Carolina, B.S., 1985Vanderbilt University Law School, J.D., 1989']",['Donald J. Trump'],[]
"Richardson, Eli Jeremy",https://www.fjc.gov/history/judges/richardson-eli-jeremy,history/judges/richardson-eli-jeremy,['1967'],"['October 11, 2018']",['U.S. District Court for the Middle District of Tennessee'],[],"['Duke University, B.S.E., 1989Vanderbilt University Law School, J.D., 1992']",['Donald J. Trump'],[]
"Norris, Mark Saalfield, Sr.",https://www.fjc.gov/history/judges/norris-mark-saalfield-sr,history/judges/norris-mark-saalfield-sr,['1955'],"['October 11, 2018']",['U.S. District Court for the Western District of Tennessee'],[],"['Colorado College, B.A., 1977University of Denver College of Law, J.D., 1980']",['Donald J. Trump'],[]
,,,[],[],[],[],[],[],[]
District of Tennessee,https://www.fjc.gov/history/courts/u.s.-district-court-district-tennessee-judges,history/courts/u.s.-district-court-district-tennessee-judges,[],[],[],[],[],[],[]
Eastern District,https://www.fjc.gov/history/courts/u.s.-district-court-eastern-district-tennessee-judges,history/courts/u.s.-district-court-eastern-district-tennessee-judges,[],[],[],[],[],[],[]
Western District,https://www.fjc.gov/history/courts/u.s.-district-court-western-district-tennessee-judges,history/courts/u.s.-district-court-western-district-tennessee-judges,[],[],[],[],[],[],[]
Middle District,https://www.fjc.gov/history/courts/u.s.-district-court-middle-district-tennessee-judges,history/courts/u.s.-district-court-middle-district-tennessee-judges,[],[],[],[],[],[],[]
Chief Judges,https://www.fjc.gov/history/courts/u.s.-district-courts-districts-tennessee-chief-judges,history/courts/u.s.-district-courts-districts-tennessee-chief-judges,[],[],[],[],[],[],[]
Tennessee Home Page,https://www.fjc.gov/history/courts/u.s.-district-courts-districts-tennessee,history/courts/u.s.-district-courts-districts-tennessee,,,,,,,
Legislative History,https://www.fjc.gov/history/courts/u.s.-district-courts-districts-tennessee-legislative-history,history/courts/u.s.-district-courts-districts-tennessee-legislative-history,[],[],[],[],[],[],[]
Succession Charts,https://www.fjc.gov/history/courts/us-district-courts-districts-tennessee-succession-charts,history/courts/us-district-courts-districts-tennessee-succession-charts,[],[],[],[],[],[],[]
Judicial District Organization,https://www.fjc.gov/history/courts/u.s.-district-courts-districts-tennessee-judicial-district-organization-1802-present,history/courts/u.s.-district-courts-districts-tennessee-judicial-district-organization-1802-present,[],[],[],[],[],[],[]
Meeting Places,https://www.fjc.gov/history/courts/u.s.-district-courts-districts-tennessee-meeting-places,history/courts/u.s.-district-courts-districts-tennessee-meeting-places,[],[],[],[],[],[],[]
Records and Bibliography,https://www.fjc.gov/history/courts/u.s.-district-courts-districts-tennessee-records-and-bibliography,history/courts/u.s.-district-courts-districts-tennessee-records-and-bibliography,[],[],[],[],[],[],[]
"Watrous, John Charles",https://www.fjc.gov/history/judges/watrous-john-charles,history/judges/watrous-john-charles,['1801'],"['May 29, 1846']",['U.S. District Court for the District of Texas'],[],"['Union College, A.B., 1828Read law, 1830']",['James K. Polk'],"['reassignment.Judge, U.S. District Court for the Eastern District of TexasReassigned on February 21, 1857, to a new seat authorized by 11 Stat. 164. Service terminated on April 19, 1870, due to resignation']"
"DuVal, Thomas Howard",https://www.fjc.gov/history/judges/duval-thomas-howard,history/judges/duval-thomas-howard,['1813'],"['March 3, 1857']",['U.S. District Court for the Western District of Texas'],['1880'],"['St. Joseph`s College, Bardstown, Kentucky, 1833Read law, 1837']",['Franklin Pierce'],['death']
