Judge,URL,Slug,Born,Confirmed,Court,Died,Education,President,Service Terminated
"Sullivan, Emmet G.",https://www.fjc.gov/history/judges/sullivan-emmet-g,history/judges/sullivan-emmet-g,['1947'],"['June 15, 1994']",['U.S. District Court for the District of Columbia'],[],"['Howard University, B.A., 1968Howard University School of Law, J.D., 1971']",['William J. Clinton'],[]
"Friedman, Paul L.",https://www.fjc.gov/history/judges/friedman-paul-l,history/judges/friedman-paul-l,['1944'],"['June 15, 1994']",['U.S. District Court for the District of Columbia'],[],"['New York University School of LawCornell University, B.A., 1965State University of New York at Buffalo Law School, J.D., 1968']",['William J. Clinton'],[]
"Kessler, Gladys",https://www.fjc.gov/history/judges/kessler-gladys,history/judges/kessler-gladys,['1938'],"['June 15, 1994']",['U.S. District Court for the District of Columbia'],[],"['Cornell University, B.A., 1959Harvard Law School, LL.B., 1962']",['William J. Clinton'],[]
"Robertson, James",https://www.fjc.gov/history/judges/robertson-james,history/judges/robertson-james,['1938'],"['October 7, 1994']",['U.S. District Court for the District of Columbia'],[],"['Princeton University, B.A., 1959George Washington University Law School, LL.B., 1965']",['William J. Clinton'],"['retirement.Other Federal Judicial Service:Judge, Foreign Intelligence Surveillance Court, 2002-200']"
"Kollar-Kotelly, Colleen",https://www.fjc.gov/history/judges/kollar-kotelly-colleen,history/judges/kollar-kotelly-colleen,['1943'],"['March 20, 1997']",['U.S. District Court for the District of Columbia'],[],"['Catholic University of America, B.A., 1965Catholic University of America, Columbus School of Law, J.D., 1968']",['William J. Clinton'],[]
"Kennedy, Henry Harold, Jr.",https://www.fjc.gov/history/judges/kennedy-henry-harold-jr,history/judges/kennedy-henry-harold-jr,['1948'],"['September 4, 1997']",['U.S. District Court for the District of Columbia'],[],"['Princeton University, A.B., 1970Harvard Law School, J.D., 1973']",['William J. Clinton'],"['certified disability on November 18, 2011. Other Federal Judicial Service:U.S. Magistrate, U.S. District Court for the District of Columbia, 1976-1979Judge, Superior Court of the District of Columbia, 1979-199']"
"Roberts, Richard W.",https://www.fjc.gov/history/judges/roberts-richard-w,history/judges/roberts-richard-w,['1953'],"['June 5, 1998']",['U.S. District Court for the District of Columbia'],[],"['Vassar College, A.B., 1974School for International Training (now SIT Graduate Institute), M.I.A., 1975Columbia Law School, J.D., 1978']",['William J. Clinton'],"['certified disability on March 16, 2016.']"
"Huvelle, Ellen Segal",https://www.fjc.gov/history/judges/huvelle-ellen-segal,history/judges/huvelle-ellen-segal,['1948'],"['October 15, 1999']",['U.S. District Court for the District of Columbia'],[],"['Wellesley College, B.A., 1970Yale School of Architecture, M.C.P., 1972Boston College Law School, J.D., 1975']",['William J. Clinton'],[]
"Walton, Reggie B.",https://www.fjc.gov/history/judges/walton-reggie-b,history/judges/walton-reggie-b,['1949'],"['September 21, 2001']",['U.S. District Court for the District of Columbia'],[],"['West Virginia State College, B.A., 1971American University, Washington College of Law, J.D., 1974']",['George W. Bush'],[]
"Bates, John D.",https://www.fjc.gov/history/judges/bates-john-d,history/judges/bates-john-d,['1946'],"['December 11, 2001']",['U.S. District Court for the District of Columbia'],[],"['Wesleyan University, B.A., 1968University of Maryland School of Law, J.D., 1976']",['George W. Bush'],[]
"Leon, Richard J.",https://www.fjc.gov/history/judges/leon-richard-j,history/judges/leon-richard-j,['1949'],"['February 14, 2002']",['U.S. District Court for the District of Columbia'],[],"['College of the Holy Cross, A.B., 1971Suffolk University Law School, J.D., 1974Harvard Law School, LL.M., 1981']",['George W. Bush'],[]
"Collyer, Rosemary M.",https://www.fjc.gov/history/judges/collyer-rosemary-m,history/judges/collyer-rosemary-m,['1945'],"['November 14, 2002']",['U.S. District Court for the District of Columbia'],[],"['Trinity College (now Trinity Washington University), B.A., 1968University of Denver College of Law, J.D., 1977']",['George W. Bush'],[]
"Wilkins, Robert Leon",https://www.fjc.gov/history/judges/wilkins-robert-leon,history/judges/wilkins-robert-leon,['1963'],"['December 22, 2010', 'January 13, 2014']",['U.S. District Court for the District of Columbia'],[],"['Rose-Hulman Institute of Technology, B.S., 1986Harvard Law School, J.D., 1989']","['Barack Obama', 'Barack Obama']","['appointment to another judicial position.Judge, U.S. Court of Appeals for the District of Columbia CircuitNominated by Barack Obama on June 4, 2013, to a seat vacated by David Bryan Sentelle. Confirmed by the Senate on January 13, 2014, and received commission on January 15, 2014.']"
"Howell, Beryl Alaine",https://www.fjc.gov/history/judges/howell-beryl-alaine,history/judges/howell-beryl-alaine,['1956'],"['December 22, 2010']",['U.S. District Court for the District of Columbia'],[],"['Bryn Mawr College, B.A., 1978Columbia Law School, J.D., 1983']",['Barack Obama'],[]
"Boasberg, James Emanuel",https://www.fjc.gov/history/judges/boasberg-james-emanuel,history/judges/boasberg-james-emanuel,['1963'],"['March 14, 2011']",['U.S. District Court for the District of Columbia'],[],"['Yale College, B.A., 1985University of Oxford, M.St., 1986Yale Law School, J.D., 1990']",['Barack Obama'],[]
"Jackson, Amy Berman",https://www.fjc.gov/history/judges/jackson-amy-berman,history/judges/jackson-amy-berman,['1954'],"['March 17, 2011']",['U.S. District Court for the District of Columbia'],[],"['Harvard College, A.B., 1976Harvard Law School, J.D., 1979']",['Barack Obama'],[]
"Contreras, Rudolph",https://www.fjc.gov/history/judges/contreras-rudolph,history/judges/contreras-rudolph,['1962'],"['March 22, 2012']",['U.S. District Court for the District of Columbia'],[],"['Florida State University, B.S., 1984University of Pennsylvania Law School, J.D., 1991']",['Barack Obama'],[]
"Jackson, Ketanji Brown",https://www.fjc.gov/history/judges/jackson-ketanji-brown,history/judges/jackson-ketanji-brown,['1970'],"['March 23, 2013']",['U.S. District Court for the District of Columbia'],[],"['Harvard University, B.A., 1992Harvard Law School, J.D., 1996']",['Barack Obama'],[]
"Cooper, Christopher Reid",https://www.fjc.gov/history/judges/cooper-christopher-reid,history/judges/cooper-christopher-reid,['1966'],"['March 26, 2014']",['U.S. District Court for the District of Columbia'],[],"['Yale University, B.A., 1988Stanford Law School, J.D., 1993']",['Barack Obama'],[]
"Chutkan, Tanya Sue",https://www.fjc.gov/history/judges/chutkan-tanya-sue,history/judges/chutkan-tanya-sue,['1962'],"['June 4, 2014']",['U.S. District Court for the District of Columbia'],[],"['George Washington University, B.A., 1983University of Pennsylvania Law School, J.D., 1987']",['Barack Obama'],[]
"Moss, Randolph Daniel",https://www.fjc.gov/history/judges/moss-randolph-daniel,history/judges/moss-randolph-daniel,['1961'],"['November 13, 2014']",['U.S. District Court for the District of Columbia'],[],"['Hamilton College, A.B., 1983Yale Law School, J.D., 1986']",['Barack Obama'],[]
"Mehta, Amit Priyavadan",https://www.fjc.gov/history/judges/mehta-amit-priyavadan,history/judges/mehta-amit-priyavadan,['1971'],"['December 16, 2014']",['U.S. District Court for the District of Columbia'],[],"['Georgetown University, B.A., 1993University of Virginia School of Law, J.D., 1997']",['Barack Obama'],[]
"Kelly, Timothy James",https://www.fjc.gov/history/judges/kelly-timothy-james,history/judges/kelly-timothy-james,['1969'],"['September 5, 2017']",['U.S. District Court for the District of Columbia'],[],"['Duke University, B.A., 1991Georgetown University Law Center, J.D., 1997']",['Donald J. Trump'],[]
"McFadden, Trevor Neil",https://www.fjc.gov/history/judges/mcfadden-trevor-neil,history/judges/mcfadden-trevor-neil,['1978'],"['October 30, 2017']",['U.S. District Court for the District of Columbia'],[],"['Wheaton College, Illinois, B.A., 2001University of Virginia School of Law, J.D., 2006']",['Donald J. Trump'],[]
"Friedrich, Dabney Langhorne",https://www.fjc.gov/history/judges/friedrich-dabney-langhorne,history/judges/friedrich-dabney-langhorne,['1967'],"['November 27, 2017']",['U.S. District Court for the District of Columbia'],[],"['Trinity University, San Antonio, Texas, B.A., 1988University of Oxford, University College, Diploma in Legal Studies, 1989Yale Law School, J.D., 1992']",['Donald J. Trump'],[]
"Nichols, Carl John",https://www.fjc.gov/history/judges/nichols-carl-john,history/judges/nichols-carl-john,['1970'],"['May 22, 2019']",['U.S. District Court for the District of Columbia'],[],"['Dartmouth College, A.B., 1992University of Chicago Law School, J.D., 1996']",['Donald J. Trump'],[]
,,,[],[],[],[],[],[],[]
Chief Justices and Chief Judges,https://www.fjc.gov/history/courts/u.s.-district-court-district-district-columbia-chief-justices-and-chief-judges,history/courts/u.s.-district-court-district-district-columbia-chief-justices-and-chief-judges,[],[],[],[],[],[],[]
D.C. Home Page,https://www.fjc.gov/history/courts/u.s.-district-courts-district-columbia-and-district-potomac,history/courts/u.s.-district-courts-district-columbia-and-district-potomac,,,,,,,
Legislative History,https://www.fjc.gov/history/courts/u.s.-district-courts-district-columbia-and-district-potomac-legislative-history,history/courts/u.s.-district-courts-district-columbia-and-district-potomac-legislative-history,[],[],[],[],[],[],[]
Succession Chart,https://www.fjc.gov/history/courts/us-district-court-district-columbia-succession-chart,history/courts/us-district-court-district-columbia-succession-chart,[],[],[],[],[],[],[]
Meeting Places,https://www.fjc.gov/history/courts/u.s.-district-courts-district-columbia-and-district-potomac-meeting-places,history/courts/u.s.-district-courts-district-columbia-and-district-potomac-meeting-places,[],[],[],[],[],[],[]
Records and Bibliography,https://www.fjc.gov/history/courts/u.s.-district-court-district-columbia-records-and-bibliography,history/courts/u.s.-district-court-district-columbia-records-and-bibliography,[],[],[],[],[],[],[]
"Bronson, Isaac Hopkins",https://www.fjc.gov/history/judges/bronson-isaac-hopkins,history/judges/bronson-isaac-hopkins,['1802'],"['August 8, 1846']",['U.S. District Court for the District of Florida'],['1855'],"['Read law, 1822']",['James K. Polk'],"['reassignment.Judge, U.S. District Court for the Northern District of FloridaReassigned on February 23, 1847, to a new seat authorized by 9 Stat. 131. Service terminated on August 13, 1855, due to death.Other Federal Judicial Service:Judge, U.S. District Court for the Eastern District of Florida Territory, 1840-184']"
"Marvin, William",https://www.fjc.gov/history/judges/marvin-william,history/judges/marvin-william,['1808'],"['March 3, 1847']",['U.S. District Court for the Southern District of Florida'],['1902'],"['Read law, 1834']",['James K. Polk'],"['resignation.Other Federal Judicial Service:Judge, U.S. District Court for the Southern District of Florida Territory, 1839-184']"
"McIntosh, McQueen",https://www.fjc.gov/history/judges/mcintosh-mcqueen,history/judges/mcintosh-mcqueen,['1822'],"['March 11, 1856']",['U.S. District Court for the Northern District of Florida'],['1868'],['Read law'],['Franklin Pierce'],['resignation']
"Fraser, Philip",https://www.fjc.gov/history/judges/fraser-philip,history/judges/fraser-philip,['1814'],"['July 17, 1862']",['U.S. District Court for the Northern District of Florida'],['1876'],[],['Abraham Lincoln'],[]
"Boynton, Thomas Jefferson",https://www.fjc.gov/history/judges/boynton-thomas-jefferson,history/judges/boynton-thomas-jefferson,['1838'],"['January 20, 1864']",[],['1871'],"['Read law, 1858']",[],['resignation']
"McKinney, John",https://www.fjc.gov/history/judges/mckinney-john,history/judges/mckinney-john,['1829'],"['February 18, 1871']",[],[],"['College of New Jersey (now Princeton University), A.B., 1848Read law, 1850']",[],['death']
"Locke, James William",https://www.fjc.gov/history/judges/locke-james-william,history/judges/locke-james-william,['1837'],"['February 1, 1872']",['U.S. District Court for the Southern District of Florida'],['1922'],"['Read law, 1859']",['Ulysses Grant'],"['retirement.Other Federal Judicial Service:U.S. Commissioner, U.S. District Court for the Southern District of Florid']"
"Settle, Thomas",https://www.fjc.gov/history/judges/settle-thomas,history/judges/settle-thomas,['1831'],"['January 30, 1877']",['U.S. District Court for the Northern District of Florida'],['1888'],"['University of North Carolina, A.B., 1850Read law, 1854']",['Ulysses Grant'],['death']
"Swayne, Charles",https://www.fjc.gov/history/judges/swayne-charles,history/judges/swayne-charles,['1842'],"['April 1, 1890']",[],[],"['University of Pennsylvania Law School, LL.B., 1871']",[],['death']
"Sheppard, William Bostwick",https://www.fjc.gov/history/judges/sheppard-william-bostwick,history/judges/sheppard-william-bostwick,['1860'],"['May 20, 1908']",[],[],"['University of North CarolinaRead law, 1891']",[],['death']
"Cheney, John Moses",https://www.fjc.gov/history/judges/cheney-john-moses,history/judges/cheney-john-moses,['1859'],[],[],['1922'],"['Boston University School of Law, LL.B., 1885']",[],[]
"Call, Rhydon Mays",https://www.fjc.gov/history/judges/call-rhydon-mays,history/judges/call-rhydon-mays,['1858'],"['April 24, 1913']",[],[],"['Washington and Lee University School of Law, LL.B., 1878']",[],['death']
"Jones, Lake",https://www.fjc.gov/history/judges/jones-lake,history/judges/jones-lake,['1867'],"['February 18, 1924']",['U.S. District Court for the Southern District of Florida'],['1930'],"['Northwestern University School of Law, LL.B., 1909']",['Calvin Coolidge'],['death']
"Akerman, Alexander",https://www.fjc.gov/history/judges/akerman-alexander,history/judges/akerman-alexander,['1869'],"['February 15, 1929']",['U.S. District Court for the Southern District of Florida'],[],"['Read law, 1892']",['Calvin Coolidge'],"['death.Other Federal Judicial Service:Referee in Bankruptcy, Southern District of Georgia, 189']"
"Ritter, Halsted Lockwood",https://www.fjc.gov/history/judges/ritter-halsted-lockwood,history/judges/ritter-halsted-lockwood,['1868'],"['February 15, 1929']",['U.S. District Court for the Southern District of Florida'],[],"['DePauw University, Ph.D., 1891DePauw University, LL.B., 1892DePauw University, A.M., 1893']",['Calvin Coolidge'],['impeachment and conviction']
"Strum, Louie Willard",https://www.fjc.gov/history/judges/strum-louie-willard,history/judges/strum-louie-willard,['1890'],"['February 28, 1931', 'September 23, 1950']",['U.S. District Court for the Southern District of Florida'],[],"['Stetson University College of Law, LL.B., 1912']","['Herbert Hoover', 'Harry S Truman']","['appointment to another judicial position.Judge, U.S. Court of Appeals for the Fifth CircuitNominated by Harry S Truman on September 14, 1950, to a seat vacated by Curtis Longino Waller. Confirmed by the Senate on September 23, 1950, and received commission on September 26, 1950. Service terminated on July 26, 1954, due to death']"
"Long, Augustus V.",https://www.fjc.gov/history/judges/long-augustus-v,history/judges/long-augustus-v,['1877'],"['May 29, 1934']",['U.S. District Court for the Northern District of Florida'],[],"['Florida Agricultural College (now University of Florida)Read law, 1898']",['Franklin D. Roosevelt'],['death']
"Holland, John Warthen",https://www.fjc.gov/history/judges/holland-john-warthen,history/judges/holland-john-warthen,['1883'],"['May 30, 1936']",['U.S. District Court for the Southern District of Florida'],['1969'],"['Southwestern Baptist University (now Union University, Jackson, Tennessee), B.A., 1904Vanderbilt University Law School, LL.B., 1906']",['Franklin D. Roosevelt'],['death']
"Barker, William Julius",https://www.fjc.gov/history/judges/barker-william-julius,history/judges/barker-william-julius,['1886'],"['February 1, 1940']",['U.S. District Court for the Southern District of Florida'],[],"['University of Florida College of Law, LL.B., 1916']",['Franklin D. Roosevelt'],['death']
"Waller, Curtis Longino",https://www.fjc.gov/history/judges/waller-curtis-longino,history/judges/waller-curtis-longino,['1887'],"['June 15, 1940', 'June 15, 1940', 'March 9, 1943']",['U.S. District Court for the Northern District of Florida'],[],"['Mississippi College, Ph.B., 1908Millsaps College, LL.B., 1910']","['Franklin D. Roosevelt', 'Franklin D. Roosevelt', 'Franklin D. Roosevelt']","['appointment to another judicial position.Judge, U.S. District Court for the Southern District of FloridaNominated by Franklin D. Roosevelt on June 11, 1940, to a new seat authorized by 54 Stat. 219. Confirmed by the Senate on June 15, 1940, and received commission on June 19, 1940. Service terminated on March 12, 1943, due to appointment to another judicial position.Judge, U.S. Court of Appeals for the Fifth CircuitNominated by Franklin D. Roosevelt on February 18, 1943, to a new seat authorized by 56 Stat. 1050. Confirmed by the Senate on March 9, 1943, and received commission on March 10, 1943. Service terminated on July 11, 1950, due to death']"
"DeVane, Dozier Adolphus",https://www.fjc.gov/history/judges/devane-dozier-adolphus,history/judges/devane-dozier-adolphus,['1883'],"['April 14, 1943', 'April 14, 1943']",['U.S. District Court for the Southern District of Florida'],[],"['Washington and Lee University School of Law, LL.B., 1908']","['Franklin D. Roosevelt', 'Franklin D. Roosevelt']","['reassignment.Judge, U.S. District Court for the Northern District of FloridaNominated by Franklin D. Roosevelt on March 26, 1943, to a seat vacated by Curtis L. Waller. Confirmed by the Senate on April 14, 1943, and received commission on April 22, 1943. Assumed senior status on January 31, 1958. Service terminated on December 15, 1963, due to death']"
"Whitehurst, George William",https://www.fjc.gov/history/judges/whitehurst-george-william,history/judges/whitehurst-george-william,['1891'],"['February 21, 1950', 'February 21, 1950']",['U.S. District Court for the Northern District of Florida'],[],"['University of Florida College of Law, LL.B.']","['Harry S Truman', 'Harry S Truman']","['death.Judge, U.S. District Court for the Southern District of FloridaNominated by Harry S Truman on January 30, 1950, to a new seat authorized by 63 Stat. 493. Confirmed by the Senate on February 21, 1950, and received commission on February 23, 1950. Served as chief judge, 1959-1961. Assumed senior status on June 30, 1961. Service terminated on January 13, 1974, due to death']"
"Simpson, John Milton Bryan",https://www.fjc.gov/history/judges/simpson-john-milton-bryan,history/judges/simpson-john-milton-bryan,['1903'],"['September 23, 1950', 'October 20, 1966']",['U.S. District Court for the Southern District of Florida'],[],"['University of Florida College of Law, LL.B., 1926']","['Harry S Truman', 'Lyndon B. Johnson']","['reassignment.Judge, U.S. District Court for the Middle District of FloridaReassigned on October 29, 1962, to a new seat authorized by 76 Stat. 247. Served as chief judge, 1962-1966. Service terminated on November 22, 1966, due to appointment to another judicial position.Judge, U.S. Court of Appeals for the Fifth CircuitNominated by Lyndon B. Johnson on October 11, 1966, to a new seat authorized by 80 Stat. 75. Confirmed by the Senate on October 20, 1966, and received commission on November 3, 1966. Assumed senior status on June 30, 1975. Service terminated on October 1, 1981, due to reassignment.Judge, U.S. Court of Appeals for the Eleventh CircuitReassigned on October 1, 1981, to a new seat authorized by 94 Stat. 1994. Service terminated on August 22, 1987, due to death']"
"Choate, Emett Clay",https://www.fjc.gov/history/judges/choate-emett-clay,history/judges/choate-emett-clay,['1891'],"['July 20, 1954']",['U.S. District Court for the Southern District of Florida'],[],"['Indiana University School of Law -- Bloomington (now Maurer School of Law), LL.B., 1914']",['Dwight D. Eisenhower'],['death']
"Lieb, Joseph Patrick",https://www.fjc.gov/history/judges/lieb-joseph-patrick,history/judges/lieb-joseph-patrick,['1901'],"['March 1, 1956']",[],[],"['Georgetown College Law School (now Georgetown University Law Center), LL.B., 1924']",[],"['reassignment.Judge, U.S. District Court for the Middle District of FloridaReassigned on October 29, 1962, to a new seat authorized by 76 Stat. 247. Served as chief judge, 1966-1971. Service terminated on November 2, 1971, due to death']"
"Carswell, George Harrold",https://www.fjc.gov/history/judges/carswell-george-harrold,history/judges/carswell-george-harrold,['1919'],"['March 31, 1958', 'June 19, 1969']",['U.S. District Court for the Northern District of Florida'],['1992'],"['U.S. Naval AcademyUniversity of Georgia School of LawDuke University, A.B., 1941Mercer University, Walter F. George School of Law, LL.B., 1948']","['Dwight D. Eisenhower', 'Richard M. Nixon']","['appointment to another judicial position.Judge, U.S. Court of Appeals for the Fifth CircuitNominated by Richard M. Nixon on May 12, 1969, to a new seat authorized by 82 Stat. 184. Confirmed by the Senate on June 19, 1969, and received commission on June 20, 1969. Service terminated on April 20, 1970, due to resignation']"
"McRae, William Allan, Jr.",https://www.fjc.gov/history/judges/mcrae-william-allan-jr,history/judges/mcrae-william-allan-jr,['1909'],"['March 3, 1961']",['U.S. District Court for the Southern District of Florida'],[],"['University of Florida, A.B., 1932University of Oxford, B.A., 1933University of Florida College of Law, J.D., 1933University of Oxford, B.Litt., 1936']",['John F. Kennedy'],"['reassignment.Judge, U.S. District Court for the Middle District of FloridaReassigned on October 29, 1962, to a new seat authorized by 76 Stat. 247. Served as chief judge, 1971-1973. Service terminated on January 27, 1973, due to death']"
"Dyer, David William",https://www.fjc.gov/history/judges/dyer-david-william,history/judges/dyer-david-william,['1910'],"['September 8, 1961', 'August 25, 1966']",['U.S. District Court for the Southern District of Florida'],['1998'],"['Stetson University College of Law, LL.B., 1933']","['John F. Kennedy', 'Lyndon B. Johnson']","['appointment to another judicial position.Judge, U.S. Court of Appeals for the Fifth CircuitNominated by Lyndon B. Johnson on August 16, 1966, to a seat vacated by Warren Leroy Jones. Confirmed by the Senate on August 25, 1966, and received commission on August 25, 1966. Assumed senior status on September 30, 1976. Service terminated on October 1, 1981, due to reassignment.Judge, U.S. Court of Appeals for the Eleventh CircuitReassigned on October 1, 1981, to a new seat authorized by 94 Stat. 1994. Service terminated on June 7, 1998, due to death']"
"Young, George Cressler",https://www.fjc.gov/history/judges/young-george-cressler,history/judges/young-george-cressler,['1916'],"['September 14, 1961', 'September 14, 1961']",['U.S. District Court for the Northern District of Florida'],['2015'],"['University of Florida, A.B., 1938University of Florida College of Law, LL.B., 1940']","['John F. Kennedy', 'John F. Kennedy']","['reassignment.Judge, U.S. District Court for the Southern District of FloridaNominated by John F. Kennedy on September 5, 1961, to a seat vacated by George W. Whitehurst. Confirmed by the Senate on September 14, 1961, and received commission on September 18, 1961. Service terminated on September 17, 1966, due to reassignment.Judge, U.S. District Court for the Middle District of FloridaAssigned on October 29, 1962, to a new seat authorized by 76 Stat. 247. Served as chief judge, 1973-1981. Assumed senior status on October 19, 1981. Service terminated on April 24, 2015, due to death']"
"Fulton, Charles Britton",https://www.fjc.gov/history/judges/fulton-charles-britton,history/judges/fulton-charles-britton,['1910'],"['April 24, 1963']",['U.S. District Court for the Southern District of Florida'],['1996'],"['University of Florida College of Law, LL.B., 1935']",['John F. Kennedy'],['death']
"Mehrtens, William Osborne",https://www.fjc.gov/history/judges/mehrtens-william-osborne,history/judges/mehrtens-william-osborne,['1905'],"['August 31, 1965']",['U.S. District Court for the Southern District of Florida'],[],"['University of Florida College of Law, LL.B., 1932']",['Lyndon B. Johnson'],['death']
"Atkins, Carl Clyde",https://www.fjc.gov/history/judges/atkins-carl-clyde,history/judges/atkins-carl-clyde,['1914'],"['July 22, 1966']",['U.S. District Court for the Southern District of Florida'],['1999'],"['University of Florida College of Law, LL.B., 1936']",['Lyndon B. Johnson'],['death']
"Cabot, Ted",https://www.fjc.gov/history/judges/cabot-ted,history/judges/cabot-ted,['1917'],"['August 10, 1966']",['U.S. District Court for the Southern District of Florida'],[],"['University of Miami School of Law, LL.B., 1953']",['Lyndon B. Johnson'],['death']
"Scott, Charles Ray",https://www.fjc.gov/history/judges/scott-charles-ray,history/judges/scott-charles-ray,['1904'],"['October 20, 1966']",['U.S. District Court for the Middle District of Florida'],[],"['Valparaiso University Law School, LL.B., 1924']",['Lyndon B. Johnson'],['death']
"Eaton, Joseph Oscar",https://www.fjc.gov/history/judges/eaton-joseph-oscar,history/judges/eaton-joseph-oscar,['1920'],"['June 12, 1967']",['U.S. District Court for the Southern District of Florida'],['2008'],"['Presbyterian College, A.B., 1945University of Florida College of Law, LL.B., 1948']",['Lyndon B. Johnson'],['death']
"Krentzman, Isaac Benjamin, Jr.",https://www.fjc.gov/history/judges/krentzman-isaac-benjamin-jr,history/judges/krentzman-isaac-benjamin-jr,['1914'],"['June 12, 1967']",['U.S. District Court for the Middle District of Florida'],['1998'],"['University of Florida, B.S., 1935University of Florida College of Law, J.D., 1938']",['Lyndon B. Johnson'],['death']
"Arnow, Winston Eugene",https://www.fjc.gov/history/judges/arnow-winston-eugene,history/judges/arnow-winston-eugene,['1911'],"['December 7, 1967']",['U.S. District Court for the Northern District of Florida'],['1994'],"['University of Florida, B.B.A., 1932University of Florida College of Law, J.D., 1933']",['Lyndon B. Johnson'],['death']
"Middlebrooks, David Lycurgus, Jr.",https://www.fjc.gov/history/judges/middlebrooks-david-lycurgus-jr,history/judges/middlebrooks-david-lycurgus-jr,['1926'],"['December 10, 1969']",['U.S. District Court for the Northern District of Florida'],['1997'],"['Florida State University, B.S., 1950University of Florida College of Law, LL.B., 1956']",['Richard M. Nixon'],['resignation']
"Fay, Peter Thorp",https://www.fjc.gov/history/judges/fay-peter-thorp,history/judges/fay-peter-thorp,['1929'],"['October 13, 1970', 'September 17, 1976']",['U.S. District Court for the Southern District of Florida'],[],"['Rollins College, B.A., 1951University of Florida College of Law, J.D., 1956']","['Richard M. Nixon', 'Gerald Ford']","['appointment to another judicial position.Judge, U.S. Court of Appeals for the Fifth CircuitNominated by Gerald Ford on June 11, 1976, to a seat vacated by David William Dyer. Confirmed by the Senate on September 17, 1976, and received commission on September 21, 1976. Service terminated on October 1, 1981, due to reassignment.Judge, U.S. Court of Appeals for the Eleventh CircuitReassigned on October 1, 1981, to a new seat authorized by 94 Stat. 1994. Assumed senior status on January 19, 1994.']"
"Tjoflat, Gerald Bard",https://www.fjc.gov/history/judges/tjoflat-gerald-bard,history/judges/tjoflat-gerald-bard,['1929'],"['October 13, 1970', 'November 20, 1975']",['U.S. District Court for the Middle District of Florida'],[],"['Duke University School of Law, LL.B., 1957']","['Richard M. Nixon', 'Gerald Ford']","['appointment to another judicial position.Judge, U.S. Court of Appeals for the Fifth CircuitNominated by Gerald Ford on November 3, 1975, to a seat vacated by John Milton Bryan Simpson. Confirmed by the Senate on November 20, 1975, and received commission on November 21, 1975. Service terminated on October 1, 1981, due to reassignment.Judge, U.S. Court of Appeals for the Eleventh CircuitReassigned on October 1, 1981, to a new seat authorized by 94 Stat. 1994. Served as chief judge, 1989-1996.']"
"King, James Lawrence",https://www.fjc.gov/history/judges/king-james-lawrence,history/judges/king-james-lawrence,['1927'],"['October 13, 1970']",['U.S. District Court for the Southern District of Florida'],[],"['University of Florida, B.A.E., 1949University of Florida College of Law, LL.B., 1953']",['Richard M. Nixon'],[]
"Hodges, William Terrell",https://www.fjc.gov/history/judges/hodges-william-terrell,history/judges/hodges-william-terrell,['1934'],"['December 11, 1971']",['U.S. District Court for the Middle District of Florida'],[],"['University of Florida, B.S.B.A., 1956University of Florida College of Law, J.D., 1958']",['Richard M. Nixon'],[]
"Roettger, Norman Charles, Jr.",https://www.fjc.gov/history/judges/roettger-norman-charles-jr,history/judges/roettger-norman-charles-jr,['1930'],"['May 31, 1972']",['U.S. District Court for the Southern District of Florida'],['2003'],"['Ohio State University, B.A., 1952Washington and Lee University School of Law, LL.B., 1958']",['Richard M. Nixon'],['death']
"Reed, John Alton, Jr.",https://www.fjc.gov/history/judges/reed-john-alton-jr,history/judges/reed-john-alton-jr,['1931'],"['August 3, 1973']",['U.S. District Court for the Middle District of Florida'],[],"['Duke University, A.B., 1954Duke University School of Law, LL.B., 1956']",['Richard M. Nixon'],['resignation']
"Stafford, William Henry, Jr.",https://www.fjc.gov/history/judges/stafford-william-henry-jr,history/judges/stafford-william-henry-jr,['1931'],"['May 12, 1975']",['U.S. District Court for the Northern District of Florida'],[],"['Temple University, B.S., 1953Temple University School of Law, LL.B., 1956']",['Gerald Ford'],[]
"Aronovitz, Sidney Myer",https://www.fjc.gov/history/judges/aronovitz-sidney-myer,history/judges/aronovitz-sidney-myer,['1920'],"['September 17, 1976']",['U.S. District Court for the Southern District of Florida'],['1997'],"['University of Florida, B.A., 1942University of Florida College of Law, J.D., 1943']",['Gerald Ford'],"['death.Other Federal Judicial Service:Judge, Foreign Intelligence Surveillance Court, 1989-199']"
"Hoeveler, William Marcellin",https://www.fjc.gov/history/judges/hoeveler-william-marcellin,history/judges/hoeveler-william-marcellin,['1922'],"['April 25, 1977']",['U.S. District Court for the Southern District of Florida'],['2017'],"['Bucknell University, B.A., 1947Harvard Law School, LL.B., 1950']",['Jimmy Carter'],['death']
"Melton, Howell Webster, Sr.",https://www.fjc.gov/history/judges/melton-howell-webster-sr,history/judges/melton-howell-webster-sr,['1923'],"['April 25, 1977']",['U.S. District Court for the Middle District of Florida'],['2015'],"['University of Florida, A.A., 1943University of Florida College of Law, J.D., 1948']",['Jimmy Carter'],['death']
"Carr, George Carter",https://www.fjc.gov/history/judges/carr-george-carter,history/judges/carr-george-carter,['1929'],"['December 15, 1977']",['U.S. District Court for the Middle District of Florida'],['1990'],"['University of Florida, B.S.B.A., 1951University of Florida College of Law, LL.B., 1954']",['Jimmy Carter'],['death']
